date,shift,airline,flight number,aircraft type,route,loading supervisor id,scheduled arrival time,scheduled departure time,actual arrival time,actual departure time,conveyor belt on,conveyor belt off,h-loader on,h-loader off,cargo doors open,cargo doors closed,first trolley out,last trolley out,baggage at aircraft
22-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:21:00,13:13:00,12:27:00,12:57:00,,,12:26:00,12:59:00,12:28:00,12:41:00,27
22-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,12:01:00,12:54:00,12:06:00,12:37:00,,,12:05:00,12:39:00,12:07:00,12:15:00,143
22-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,15:00:00,16:05:00,15:05:00,15:51:00,,,15:04:00,15:53:00,15:06:00,15:11:00,196
22-11-25,Shift B,Ethiopian Airways,ET873,A350,ADD-ADD via LUN,9,13:10:00,15:10:00,13:05:00,15:28:00,13:11:00,15:14:00,13:12:00,15:13:00,13:10:00,15:16:00,13:12:00,13:22:00,72
22-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:46:00,10:14:00,9:51:00,10:02:00,,,9:50:00,10:04:00,9:52:00,10:01:00,122
22-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:23:00,14:28:00,13:26:00,14:16:00,,,13:25:00,14:18:00,13:27:00,13:36:00,139
22-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,7:42:00,9:47:00,7:48:00,9:37:00,7:49:00,9:36:00,7:47:00,9:39:00,7:49:00,7:54:00,44
22-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,14:48:00,16:38:00,14:54:00,16:22:00,14:55:00,16:21:00,14:53:00,16:24:00,14:55:00,15:04:00,83
22-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:15:00,2:30:00,1:20:00,2:20:00,,,1:19:00,2:22:00,1:21:00,1:27:00,147
22-11-25,Shift B,Kenya Airways,KQ704,B737,NBO-HRE via LUN,9,17:20:00,18:10:00,17:36:00,18:19:00,17:42:00,18:12:00,,,17:41:00,18:14:00,17:43:00,17:47:00,120
22-11-25,Shift B,Kenya Airways,KQ706,B737,NBO-HRE via LUN,10,9:10:00,10:00:00,9:10:00,10:03:00,9:15:00,9:56:00,,,9:14:00,9:58:00,9:16:00,9:20:00,92
23-11-25,Shift B,Air Botswana,BP312,E175,GBE-HRE via LUN,8,8:50:00,9:40:00,9:06:00,10:00:00,9:11:00,9:45:00,,,9:10:00,9:47:00,9:12:00,9:16:00,47
23-11-25,Shift B,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,9,11:45:00,12:20:00,11:57:00,12:18:00,12:02:00,12:06:00,,,12:01:00,12:08:00,12:03:00,12:13:00,113
23-11-25,Shift B,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,10,13:10:00,13:45:00,12:57:00,14:00:00,13:00:00,13:44:00,,,12:59:00,13:46:00,13:01:00,13:15:00,69
23-11-25,Shift B,South African Airways,SA62,A320,JNB-JNB via LUN,12,12:40:00,13:30:00,12:48:00,13:55:00,12:53:00,13:47:00,,,12:52:00,13:49:00,12:54:00,13:04:00,149
23-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:33:00,13:35:00,12:38:00,13:19:00,,,12:37:00,13:21:00,12:39:00,12:53:00,176
23-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,11:37:00,12:28:00,11:40:00,12:15:00,,,11:39:00,12:17:00,11:41:00,11:52:00,106
23-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,15:20:00,15:20:00,15:24:00,15:53:00,,,15:23:00,15:55:00,15:25:00,15:39:00,150
23-11-25,Shift B,Ethiopian Airways,ET873,B777,ADD-ADD via LUN,9,13:10:00,15:10:00,13:27:00,15:02:00,13:30:00,14:55:00,13:31:00,14:54:00,13:29:00,14:57:00,13:31:00,13:39:00,105
23-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:55:00,10:38:00,10:01:00,10:29:00,,,10:00:00,10:31:00,10:02:00,10:14:00,151
23-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:23:00,14:25:00,13:28:00,14:16:00,,,13:27:00,14:18:00,13:29:00,13:39:00,177
23-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,7:54:00,9:51:00,8:00:00,9:35:00,8:01:00,9:34:00,7:59:00,9:37:00,8:01:00,8:08:00,141
23-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,14:46:00,16:43:00,14:51:00,16:26:00,14:52:00,16:25:00,14:50:00,16:28:00,14:52:00,14:57:00,126
23-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:24:00,2:11:00,1:30:00,2:00:00,,,1:29:00,2:02:00,1:31:00,1:44:00,168
23-11-25,Shift B,Kenya Airways,KQ704,E195,NBO-HRE via LUN,9,17:20:00,18:10:00,17:08:00,18:30:00,17:12:00,18:15:00,,,17:11:00,18:17:00,17:13:00,17:28:00,178
23-11-25,Shift B,Kenya Airways,KQ706,B737,NBO-HRE via LUN,10,9:10:00,10:00:00,9:04:00,10:05:00,9:07:00,9:49:00,,,9:06:00,9:51:00,9:08:00,9:15:00,68
24-11-25,Shift B,Air Botswana,BP312,E175,GBE-HRE via LUN,8,8:50:00,9:40:00,8:36:00,9:58:00,8:41:00,9:45:00,,,8:40:00,9:47:00,8:42:00,8:48:00,125
24-11-25,Shift B,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,9,11:45:00,12:20:00,11:43:00,12:36:00,11:49:00,12:29:00,,,11:48:00,12:31:00,11:50:00,11:55:00,152
24-11-25,Shift B,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,10,13:10:00,13:45:00,13:08:00,14:10:00,13:13:00,13:53:00,,,13:12:00,13:55:00,13:14:00,13:25:00,154
24-11-25,Shift B,South African Airways,SA62,A320,JNB-JNB via LUN,12,12:40:00,13:30:00,12:49:00,13:40:00,12:53:00,13:26:00,,,12:52:00,13:28:00,12:54:00,13:07:00,107
24-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:39:00,13:22:00,12:44:00,13:06:00,,,12:43:00,13:08:00,12:45:00,12:56:00,69
24-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,11:45:00,12:37:00,11:50:00,12:27:00,,,11:49:00,12:29:00,11:51:00,11:59:00,93
24-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,14:58:00,16:11:00,15:03:00,15:57:00,,,15:02:00,15:59:00,15:04:00,15:13:00,163
24-11-25,Shift B,Ethiopian Airways,ET873,B787,ADD-ADD via LUN,9,13:10:00,15:10:00,13:12:00,15:18:00,13:15:00,15:02:00,13:16:00,15:01:00,13:14:00,15:04:00,13:16:00,13:32:00,159
24-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:49:00,10:30:00,9:54:00,10:21:00,,,9:53:00,10:23:00,9:55:00,10:03:00,30
24-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:33:00,14:10:00,13:38:00,13:56:00,,,13:37:00,13:58:00,13:39:00,13:53:00,85
24-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,8:05:00,9:43:00,8:09:00,9:28:00,8:10:00,9:27:00,8:08:00,9:30:00,8:10:00,8:19:00,163
24-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,15:02:00,16:28:00,15:05:00,16:12:00,15:06:00,16:11:00,15:04:00,16:14:00,15:06:00,15:21:00,81
24-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:20:00,2:13:00,1:24:00,1:56:00,,,1:23:00,1:58:00,1:25:00,1:33:00,33
24-11-25,Shift B,Kenya Airways,KQ704,E195,NBO-HRE via LUN,9,17:20:00,18:10:00,17:31:00,18:21:00,17:37:00,18:13:00,,,17:36:00,18:15:00,17:38:00,17:51:00,55
24-11-25,Shift B,Kenya Airways,KQ706,E195,NBO-HRE via LUN,10,9:10:00,10:00:00,9:30:00,10:00:00,9:36:00,9:43:00,,,9:35:00,9:45:00,9:37:00,9:47:00,142
25-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,8:47:00,9:48:00,8:52:00,9:37:00,,,8:51:00,9:39:00,8:53:00,9:07:00,35
25-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,11:35:00,12:24:00,11:38:00,12:15:00,,,11:37:00,12:17:00,11:39:00,11:51:00,65
25-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,12:57:00,14:00:00,13:03:00,13:51:00,,,13:02:00,13:53:00,13:04:00,13:11:00,29
25-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:25:00,13:39:00,12:28:00,13:27:00,,,12:27:00,13:29:00,12:29:00,12:39:00,136
25-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:39:00,13:33:00,12:45:00,13:24:00,,,12:44:00,13:26:00,12:46:00,12:57:00,139
25-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,11:47:00,12:32:00,11:50:00,12:20:00,,,11:49:00,12:22:00,11:51:00,11:59:00,137
25-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,15:01:00,15:51:00,15:04:00,15:39:00,,,15:03:00,15:41:00,15:05:00,15:15:00,165
25-11-25,Shift A,Ethiopian Airways,ET873,B787,ADD-ADD via LUN,1,13:10:00,15:10:00,13:07:00,15:11:00,13:13:00,14:58:00,13:14:00,14:57:00,13:12:00,15:00:00,13:14:00,13:25:00,103
25-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:30:00,10:30:00,9:33:00,10:21:00,,,9:32:00,10:23:00,9:34:00,9:42:00,142
25-11-25,Shift A,Airlink,4Z162,E195,JNB-JNB via LUN,3,13:30:00,14:15:00,13:35:00,14:20:00,13:38:00,14:09:00,,,13:37:00,14:11:00,13:39:00,13:51:00,80
25-11-25,Shift A,Qatar Airways,QR1455,B787,DOH-HRE via LUN,4,7:50:00,9:40:00,8:03:00,9:47:00,8:08:00,9:36:00,8:09:00,9:35:00,8:07:00,9:38:00,8:09:00,8:22:00,166
25-11-25,Shift A,Qatar Airways,QR1456,B787,HRE-DOH via LUN,5,15:00:00,16:30:00,14:45:00,16:36:00,14:50:00,16:26:00,14:51:00,16:25:00,14:49:00,16:28:00,14:51:00,14:55:00,190
25-11-25,Shift A,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,6,1:20:00,2:20:00,1:12:00,2:39:00,1:17:00,2:30:00,,,1:16:00,2:32:00,1:18:00,1:28:00,195
25-11-25,Shift A,Kenya Airways,KQ704,B737,NBO-HRE via LUN,7,17:20:00,18:10:00,17:12:00,18:18:00,17:17:00,18:02:00,,,17:16:00,18:04:00,17:18:00,17:25:00,76
25-11-25,Shift A,Kenya Airways,KQ706,E195,NBO-HRE via LUN,1,9:10:00,10:00:00,9:25:00,9:59:00,9:31:00,9:43:00,,,9:30:00,9:45:00,9:32:00,9:40:00,126
26-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,9:10:00,9:10:00,9:14:00,9:50:00,,,9:13:00,9:52:00,9:15:00,9:30:00,172
26-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,11:35:00,12:43:00,11:41:00,12:28:00,,,11:40:00,12:30:00,11:42:00,11:50:00,39
26-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,13:02:00,13:38:00,13:06:00,13:22:00,,,13:05:00,13:24:00,13:07:00,13:20:00,58
26-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:35:00,13:40:00,12:41:00,13:32:00,,,12:40:00,13:34:00,12:42:00,12:55:00,72
26-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:36:00,13:05:00,12:42:00,12:58:00,,,12:41:00,13:00:00,12:43:00,12:53:00,53
26-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,12:02:00,12:46:00,12:08:00,12:30:00,,,12:07:00,12:32:00,12:09:00,12:12:00,163
26-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,15:14:00,15:59:00,15:17:00,15:46:00,,,15:16:00,15:48:00,15:18:00,15:28:00,20
26-11-25,Shift A,Ethiopian Airways,ET873,B787,ADD-ADD via LUN,1,13:10:00,15:10:00,13:08:00,15:04:00,13:11:00,14:51:00,13:12:00,14:50:00,13:10:00,14:53:00,13:12:00,13:23:00,199
26-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:29:00,10:39:00,9:32:00,10:31:00,,,9:31:00,10:33:00,9:33:00,9:46:00,28
26-11-25,Shift A,Airlink,4Z162,E195,JNB-JNB via LUN,3,13:30:00,14:15:00,13:33:00,14:31:00,13:37:00,14:22:00,,,13:36:00,14:24:00,13:38:00,13:53:00,185
26-11-25,Shift A,Qatar Airways,QR1455,B787,DOH-HRE via LUN,4,7:50:00,9:40:00,8:01:00,9:53:00,8:07:00,9:39:00,8:08:00,9:38:00,8:06:00,9:41:00,8:08:00,8:17:00,116
26-11-25,Shift A,Qatar Airways,QR1456,B787,HRE-DOH via LUN,5,15:00:00,16:30:00,14:50:00,16:54:00,14:54:00,16:37:00,14:55:00,16:36:00,14:53:00,16:39:00,14:55:00,15:05:00,50
26-11-25,Shift A,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,6,1:20:00,2:20:00,1:16:00,2:44:00,1:22:00,2:29:00,,,1:21:00,2:31:00,1:23:00,1:28:00,77
26-11-25,Shift A,Kenya Airways,KQ704,E195,NBO-HRE via LUN,7,17:20:00,18:10:00,17:06:00,18:19:00,17:12:00,18:02:00,,,17:11:00,18:04:00,17:13:00,17:24:00,128
26-11-25,Shift A,Kenya Airways,KQ706,B737,NBO-HRE via LUN,1,9:10:00,10:00:00,9:09:00,10:05:00,9:15:00,9:53:00,,,9:14:00,9:55:00,9:16:00,9:21:00,90
27-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,8:47:00,9:37:00,8:50:00,9:20:00,,,8:49:00,9:22:00,8:51:00,9:03:00,177
27-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,11:31:00,12:25:00,11:35:00,12:17:00,,,11:34:00,12:19:00,11:36:00,11:42:00,172
27-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,12:57:00,14:03:00,13:00:00,13:53:00,,,12:59:00,13:55:00,13:01:00,13:07:00,122
27-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:53:00,13:34:00,12:57:00,13:27:00,,,12:56:00,13:29:00,12:58:00,13:05:00,148
27-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:23:00,13:14:00,12:28:00,12:58:00,,,12:27:00,13:00:00,12:29:00,12:42:00,192
27-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,11:50:00,12:35:00,11:55:00,12:26:00,,,11:54:00,12:28:00,11:56:00,12:10:00,153
27-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,14:59:00,16:06:00,15:04:00,15:55:00,,,15:03:00,15:57:00,15:05:00,15:09:00,162
27-11-25,Shift A,Ethiopian Airways,ET873,B787,ADD-ADD via LUN,1,13:10:00,15:10:00,13:06:00,15:27:00,13:12:00,15:20:00,13:13:00,15:19:00,13:11:00,15:22:00,13:13:00,13:21:00,184
27-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:49:00,10:38:00,9:54:00,10:25:00,,,9:53:00,10:27:00,9:55:00,10:05:00,58
27-11-25,Shift A,Airlink,4Z162,E195,JNB-JNB via LUN,3,13:30:00,14:15:00,13:34:00,14:29:00,13:38:00,14:14:00,,,13:37:00,14:16:00,13:39:00,13:51:00,81
27-11-25,Shift A,Qatar Airways,QR1455,B787,DOH-HRE via LUN,4,7:50:00,9:40:00,7:49:00,9:49:00,7:53:00,9:35:00,7:54:00,9:34:00,7:52:00,9:37:00,7:54:00,7:59:00,163
27-11-25,Shift A,Qatar Airways,QR1456,B787,HRE-DOH via LUN,5,15:00:00,16:30:00,15:11:00,16:46:00,15:15:00,16:33:00,15:16:00,16:32:00,15:14:00,16:35:00,15:16:00,15:24:00,85
27-11-25,Shift A,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,6,1:20:00,2:20:00,1:18:00,2:31:00,1:21:00,2:17:00,,,1:20:00,2:19:00,1:22:00,1:33:00,43
27-11-25,Shift A,Kenya Airways,KQ704,E195,NBO-HRE via LUN,7,17:20:00,18:10:00,17:08:00,18:17:00,17:14:00,18:00:00,,,17:13:00,18:02:00,17:15:00,17:27:00,174
27-11-25,Shift A,Kenya Airways,KQ706,E195,NBO-HRE via LUN,1,9:10:00,10:00:00,8:59:00,10:02:00,9:03:00,9:48:00,,,9:02:00,9:50:00,9:04:00,9:12:00,105
28-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,8:54:00,9:30:00,8:58:00,9:20:00,,,8:57:00,9:22:00,8:59:00,9:05:00,142
28-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,11:45:00,12:23:00,11:51:00,12:13:00,,,11:50:00,12:15:00,11:52:00,12:03:00,102
28-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,13:13:00,13:59:00,13:19:00,13:44:00,,,13:18:00,13:46:00,13:20:00,13:33:00,111
28-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:44:00,13:36:00,12:49:00,13:21:00,,,12:48:00,13:23:00,12:50:00,13:01:00,139
28-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:11:00,13:30:00,12:16:00,13:20:00,,,12:15:00,13:22:00,12:17:00,12:26:00,100
28-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,11:56:00,12:22:00,12:00:00,12:13:00,,,11:59:00,12:15:00,12:01:00,12:06:00,86
28-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,15:20:00,16:06:00,15:25:00,15:57:00,,,15:24:00,15:59:00,15:26:00,15:33:00,104
28-11-25,Shift A,Ethiopian Airways,ET873,A350,ADD-ADD via LUN,1,13:10:00,15:10:00,13:19:00,15:15:00,13:25:00,15:00:00,13:26:00,14:59:00,13:24:00,15:02:00,13:26:00,13:39:00,195
28-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:46:00,10:21:00,9:52:00,10:04:00,,,9:51:00,10:06:00,9:53:00,10:03:00,137
28-11-25,Shift A,Airlink,4Z162,E195,JNB-JNB via LUN,3,13:30:00,14:15:00,13:25:00,14:27:00,13:29:00,14:18:00,,,13:28:00,14:20:00,13:30:00,13:43:00,145
28-11-25,Shift A,Qatar Airways,QR1455,B787,DOH-HRE via LUN,4,7:50:00,9:40:00,7:46:00,10:04:00,7:49:00,9:49:00,7:50:00,9:48:00,7:48:00,9:51:00,7:50:00,7:56:00,39
28-11-25,Shift A,Qatar Airways,QR1456,B787,HRE-DOH via LUN,5,15:00:00,16:30:00,14:48:00,16:20:00,14:54:00,16:11:00,14:55:00,16:10:00,14:53:00,16:13:00,14:55:00,15:08:00,79
28-11-25,Shift A,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,6,1:20:00,2:20:00,1:09:00,2:19:00,1:12:00,2:09:00,,,1:11:00,2:11:00,1:13:00,1:27:00,136
28-11-25,Shift A,Kenya Airways,KQ704,B737,NBO-HRE via LUN,7,17:20:00,18:10:00,17:08:00,18:30:00,17:14:00,18:23:00,,,17:13:00,18:25:00,17:15:00,17:18:00,156
28-11-25,Shift A,Kenya Airways,KQ706,B737,NBO-HRE via LUN,1,9:10:00,10:00:00,8:55:00,9:51:00,9:00:00,9:36:00,,,8:59:00,9:38:00,9:01:00,9:09:00,24
29-11-25,Shift B,Air Botswana,BP312,E175,GBE-HRE via LUN,8,8:50:00,9:40:00,9:07:00,9:57:00,9:11:00,9:49:00,,,9:10:00,9:51:00,9:12:00,9:18:00,154
29-11-25,Shift B,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,9,11:45:00,12:20:00,11:39:00,12:25:00,11:43:00,12:09:00,,,11:42:00,12:11:00,11:44:00,11:57:00,84
29-11-25,Shift B,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,10,13:10:00,13:45:00,13:17:00,13:52:00,13:23:00,13:44:00,,,13:22:00,13:46:00,13:24:00,13:32:00,123
29-11-25,Shift B,South African Airways,SA62,A320,JNB-JNB via LUN,12,12:40:00,13:30:00,12:54:00,13:35:00,12:58:00,13:24:00,,,12:57:00,13:26:00,12:59:00,13:14:00,40
29-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:07:00,13:05:00,12:13:00,12:52:00,,,12:12:00,12:54:00,12:14:00,12:23:00,161
29-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,12:00:00,12:23:00,12:03:00,12:14:00,,,12:02:00,12:16:00,12:04:00,12:11:00,147
29-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,15:12:00,16:01:00,15:15:00,15:46:00,,,15:14:00,15:48:00,15:16:00,15:22:00,78
29-11-25,Shift B,Ethiopian Airways,ET873,A350,ADD-ADD via LUN,9,13:10:00,15:10:00,13:25:00,15:17:00,13:28:00,15:09:00,13:29:00,15:08:00,13:27:00,15:11:00,13:29:00,13:45:00,91
29-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:59:00,10:07:00,10:03:00,9:55:00,,,10:02:00,9:57:00,10:04:00,10:09:00,73
29-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:24:00,14:30:00,13:27:00,14:19:00,,,13:26:00,14:21:00,13:28:00,13:36:00,164
29-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,7:50:00,9:54:00,7:55:00,9:41:00,7:56:00,9:40:00,7:54:00,9:43:00,7:56:00,8:02:00,196
29-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,14:50:00,16:52:00,14:55:00,16:45:00,14:56:00,16:44:00,14:54:00,16:47:00,14:56:00,15:01:00,131
29-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:19:00,2:14:00,1:24:00,1:58:00,,,1:23:00,2:00:00,1:25:00,1:38:00,172
29-11-25,Shift B,Kenya Airways,KQ704,B737,NBO-HRE via LUN,9,17:20:00,18:10:00,17:25:00,18:01:00,17:30:00,17:47:00,,,17:29:00,17:49:00,17:31:00,17:42:00,78
29-11-25,Shift B,Kenya Airways,KQ706,B737,NBO-HRE via LUN,10,9:10:00,10:00:00,9:30:00,9:30:00,9:36:00,10:05:00,,,9:35:00,10:07:00,9:37:00,9:50:00,169
30-11-25,Shift B,Air Botswana,BP312,E175,GBE-HRE via LUN,8,8:50:00,9:40:00,8:59:00,9:35:00,9:04:00,9:25:00,,,9:03:00,9:27:00,9:05:00,9:10:00,41
30-11-25,Shift B,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,9,11:45:00,12:20:00,11:47:00,12:19:00,11:53:00,12:02:00,,,11:52:00,12:04:00,11:54:00,11:59:00,119
30-11-25,Shift B,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,10,13:10:00,13:45:00,13:15:00,13:58:00,13:18:00,13:50:00,,,13:17:00,13:52:00,13:19:00,13:25:00,98
30-11-25,Shift B,South African Airways,SA62,A320,JNB-JNB via LUN,12,12:40:00,13:30:00,12:53:00,13:43:00,12:58:00,13:35:00,,,12:57:00,13:37:00,12:59:00,13:05:00,42
30-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:16:00,13:27:00,12:22:00,13:12:00,,,12:21:00,13:14:00,12:23:00,12:34:00,151
30-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,11:56:00,12:26:00,11:59:00,12:18:00,,,11:58:00,12:20:00,12:00:00,12:11:00,161
30-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,14:50:00,16:00:00,14:56:00,15:53:00,,,14:55:00,15:55:00,14:57:00,15:04:00,125
30-11-25,Shift B,Ethiopian Airways,ET873,B777,ADD-ADD via LUN,9,13:10:00,15:10:00,13:00:00,15:35:00,13:04:00,15:19:00,13:05:00,15:18:00,13:03:00,15:21:00,13:05:00,13:18:00,63
30-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:49:00,10:15:00,9:53:00,10:04:00,,,9:52:00,10:06:00,9:54:00,10:03:00,88
30-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:46:00,14:14:00,13:49:00,14:05:00,,,13:48:00,14:07:00,13:50:00,14:02:00,90
30-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,8:01:00,9:49:00,8:07:00,9:41:00,8:08:00,9:40:00,8:06:00,9:43:00,8:08:00,8:16:00,84
30-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,15:00:00,16:51:00,15:04:00,16:37:00,15:05:00,16:36:00,15:03:00,16:39:00,15:05:00,15:11:00,54
30-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:24:00,2:10:00,1:30:00,1:58:00,,,1:29:00,2:00:00,1:31:00,1:43:00,117
30-11-25,Shift B,Kenya Airways,KQ704,B737,NBO-HRE via LUN,9,17:20:00,18:10:00,17:33:00,18:21:00,17:39:00,18:04:00,,,17:38:00,18:06:00,17:40:00,17:52:00,54
